tic,source,class
7691868,tessv2,RRLYR_CEPH
7898907,tessv2,RRLYR_CEPH
9828388,tessv2,RRLYR_CEPH
10581605,tessv2,RRLYR_CEPH
10759666,added_myself,CONTACT_ROT
10856502,added_myself,CONTACT_ROT
10897110,tessv2,RRLYR_CEPH
10985175,added_myself,INSTRUMENT/JUNK
11124458,added_myself,INSTRUMENT/JUNK
11124594,added_myself,CONTACT_ROT
11348580,added_myself,SOLARLIKE
11354711,added_myself,CONTACT_ROT
11479012,added_myself,INSTRUMENT/JUNK
11485304,added_myself,DSCT_BCEP
11508103,tessv2,RRLYR_CEPH
11587029,added_myself,INSTRUMENT/JUNK
11707257,added_myself,DSCT_BCEP
11794381,added_myself,DSCT_BCEP
11918658,added_myself,CONTACT_ROT
11938914,added_myself,INSTRUMENT/JUNK
11994205,tessv2,RRLYR_CEPH
12149541,tessv2,RRLYR_CEPH
12244808,added_myself,SOLARLIKE
12245937,added_myself,DSCT_BCEP
12501728,added_myself,ECLIPSE
12504476,added_myself,ECLIPSE
12521539,added_myself,CONTACT_ROT
12671735,added_myself,INSTRUMENT/JUNK
12672945,added_myself,ECLIPSE
13124801,added_myself,DSCT_BCEP
13250520,added_myself,CONTACT_ROT
13416020,added_myself,CONTACT_ROT
13420054,added_myself,INSTRUMENT/JUNK
13490703,added_myself,SOLARLIKE
13494140,added_myself,SOLARLIKE
13497481,added_myself,SOLARLIKE
13570336,added_myself,INSTRUMENT/JUNK
13574444,added_myself,INSTRUMENT/JUNK
13658799,added_myself,INSTRUMENT/JUNK
13691988,added_myself,CONTACT_ROT
13798961,added_myself,INSTRUMENT/JUNK
13803994,added_myself,INSTRUMENT/JUNK
13877853,added_myself,SOLARLIKE
13879463,added_myself,CONTACT_ROT
13969008,added_myself,ECLIPSE
13972656,added_myself,SOLARLIKE
13973007,added_myself,CONTACT_ROT
14206846,tessv2,RRLYR_CEPH
14312189,added_myself,ECLIPSE
14312482,added_myself,DSCT_BCEP
14316032,added_myself,ECLIPSE
14317932,added_myself,CONTACT_ROT
14534726,added_myself,INSTRUMENT/JUNK
14539988,added_myself,INSTRUMENT/JUNK
14540215,added_myself,INSTRUMENT/JUNK
14631173,added_myself,CONTACT_ROT
14631897,added_myself,ECLIPSE
14726817,added_myself,INSTRUMENT/JUNK
14906983,added_myself,SOLARLIKE
14907212,added_myself,SOLARLIKE
