epoch,step,test_acc_epoch,test_acc_step,test_loss_epoch,test_loss_step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc_epoch,val_acc_step,val_loss_epoch,val_loss_step
0,49,,,,,,0.53125,,12.718648910522461,,,,
0,99,,,,,,0.53125,,20.221986770629883,,,,
0,149,,,,,,0.5,,14.226576805114746,,,,
0,199,,,,,,0.5,,11.28425121307373,,,,
,0,,,,,,,,,,0.5625,,11.524336814880371
,1,,,,,,,,,,0.5625,,19.584823608398438
,2,,,,,,,,,,0.46875,,13.49006175994873
,3,,,,,,,,,,0.46875,,12.829313278198242
,4,,,,,,,,,,0.5,,11.460530281066895
,5,,,,,,,,,,0.53125,,12.192963600158691
,6,,,,,,,,,,0.4375,,11.87948226928711
,7,,,,,,,,,,0.5,,11.30889892578125
,8,,,,,,,,,,0.59375,,13.132932662963867
,9,,,,,,,,,,0.625,,11.801497459411621
,10,,,,,,,,,,0.4375,,11.647884368896484
,11,,,,,,,,,,0.53125,,20.390480041503906
,12,,,,,,,,,,0.59375,,20.24175453186035
0,234,,,,,,,,,0.5240384340286255,,13.960383415222168,
0,234,,,,,0.4455709755420685,,15.066789627075195,,,,,
,0,,0.625,,18.693613052368164,,,,,,,,
,1,,0.4375,,11.305657386779785,,,,,,,,
,2,,0.625,,11.295581817626953,,,,,,,,
,3,,0.53125,,13.359171867370605,,,,,,,,
,4,,0.5,,12.777859687805176,,,,,,,,
,5,,0.5625,,17.5320987701416,,,,,,,,
,6,,0.53125,,13.140826225280762,,,,,,,,
,7,,0.59375,,13.637508392333984,,,,,,,,
,8,,0.6875,,17.952489852905273,,,,,,,,
,9,,0.5625,,13.199440956115723,,,,,,,,
,10,,0.40625,,12.15993881225586,,,,,,,,
,11,,0.5,,11.730443000793457,,,,,,,,
,12,,0.53125,,11.83993911743164,,,,,,,,
1,235,0.5456730723381042,,13.740350723266602,,,,,,,,,
