label,path
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0026-0000000007691868_tess_v01_llc\hlsp_qlp_tess_ffi_s0026-0000000007691868_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000007898907_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000007898907_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0025-0000000009828388_tess_v01_llc\hlsp_qlp_tess_ffi_s0025-0000000009828388_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0026-0000000009828388_tess_v01_llc\hlsp_qlp_tess_ffi_s0026-0000000009828388_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0026-0000000010581605_tess_v01_llc\hlsp_qlp_tess_ffi_s0026-0000000010581605_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000010759666_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000010759666_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000010759666_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000010759666_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000010856502_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000010856502_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000010856502_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000010856502_tess_v01_llc.fits
RRLYR_CEPH,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000010897110_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000010897110_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000010985175_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000010985175_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000010985175_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000010985175_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011124458_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011124458_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011124458_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011124458_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011124594_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011124594_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011124594_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011124594_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011348580_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011348580_tess_v01_llc.fits
SOLARLIKE,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011348580_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011348580_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011354711_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011354711_tess_v01_llc.fits
CONTACT_ROT,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0015-0000000011354711_tess_v01_llc\hlsp_qlp_tess_ffi_s0015-0000000011354711_tess_v01_llc.fits
INSTRUMENT/JUNK,lightcurves_raw\tessv4_test\batch_1\mastDownload\HLSP\hlsp_qlp_tess_ffi_s0014-0000000011479012_tess_v01_llc\hlsp_qlp_tess_ffi_s0014-0000000011479012_tess_v01_llc.fits
